Started
Inited
Graph Inited
Solved 0
Solved 1
Solved 2
x[0] = 179, v[0] = 0
x[623] = 180.816, v[623] = 0.444916
x[624] = 180.848, v[624] = 0.736382
x[625] = 180.89, v[625] = 0.846715
x[626] = 180.932, v[626] = 0.718757
x[627] = 180.962, v[627] = 0.352532
x[628] = 180.968, v[628] = -0.179659
x[629] = 180.944, v[629] = -0.748311
x[630] = 180.893, v[630] = -1.21303
x[631] = 180.823, v[631] = -1.47607
x[632] = 180.745, v[632] = -1.51198
x[633] = 180.672, v[633] = -1.36112
x[634] = 180.609, v[634] = -1.10061
x[635] = 180.562, v[635] = -0.81456
x[636] = 180.528, v[636] = -0.575761
x[637] = 180.504, v[637] = -0.437498
x[638] = 180.484, v[638] = -0.428173
x[639] = 180.461, v[639] = -0.545404
x[640] = 180.43, v[640] = -0.753612
x[641] = 180.386, v[641] = -0.992537
x[642] = 180.331, v[642] = -1.19851
x[643] = 180.266, v[643] = -1.32932
x[644] = 180.198, v[644] = -1.37834
x[645] = 180.129, v[645] = -1.37037
x[646] = 180.061, v[646] = -1.34423
x[647] = 179.994, v[647] = -1.33323
x[648] = 179.927, v[648] = -1.3515
x[649] = 179.859, v[649] = -1.3887
x[650] = 179.788, v[650] = -1.41306
x[651] = 179.718, v[651] = -1.38312
x[652] = 179.65, v[652] = -1.26688
x[653] = 179.591, v[653] = -1.06176
